,mean,std
bace_random,0.8513918519020081,0.0069750969494867
bace_scaffold,0.6971635818481445,0.0
bace_umap,0.4266111612319946,0.0420169778816972
bbbp_random,0.9215030908584596,0.0086461985861662
bbbp_scaffold,0.8176897764205933,0.0
bbbp_umap,0.8448805928230285,0.0590186423225682
clintox_random,0.9790881872177124,0.0098823146116411
clintox_scaffold,0.9835068583488464,0.0
clintox_umap,0.9801318883895874,0.0083125126142226
hiv_random,0.921960151195526,0.0445998691093936
hiv_scaffold,0.7732245683670044,3.2646808475563895e-08
hiv_umap,0.7740316033363343,0.0660775663176118
sider_random,0.8222020506858826,0.0090914753354859
sider_scaffold,0.8337303042411804,5.3312014997000454e-08
sider_umap,0.8317490696907044,0.0076724892259074
tox21_random,0.8783228039741516,0.0117646022349741
tox21_scaffold,0.7982645392417907,3.2646808475563895e-08
tox21_umap,0.8376840353012085,0.0362020982801017
